video_id,title,channel_id,channel_name,category,published_at,upload_hour,upload_day,view_count,like_count,comment_count,duration_seconds,tags,tag_count,title_length,title_word_count,engagement_rate,like_to_view_ratio,comment_to_view_ratio,subscriber_count,total_video_count,total_channel_views,country,performance_tier,duration_category,collected_at
__J44m8XorM,Best Investment advice for Parents 💵❤️ | Kuldeep Singhaniaa #shorts,UCnYKRFQRndE3Wq1eLRQLfWw,Kuldeep Singhania Shorts,Finance,2025-05-15 18:30:15,18,Thursday,24953492,990207,3059,58,no_tags,0,67,10,3.9805,3.9682,0.0123,16200000,1685,12377119584,IN,Viral,Short,2026-04-03 10:58:14
_9R4wb5qrgo,Practicing Muslim #muslim #india  #religion #politics #jokes #masoomrajwani #standupcomedy #comedian,UCEgXalZpZBfBzCvCOvhmroA,Masoom Rajwani,Comedy,2025-05-13 12:49:39,12,Tuesday,833838,23147,1360,38,no_tags,0,100,10,2.9391,2.776,0.1631,152000,368,16861551,IN,High,Short,2026-04-03 10:58:49
_xz8b3ZhxkQ,My Extreme Diet & Workout Routine To Lose Fat Really Fast!,UCe072WU1CTmEZhkPS4bM6cQ,Brandon Carter,Fitness,2022-08-18 00:00:11,0,Thursday,2727104,94864,2118,30,"Brandon Carter,HIIT,Tabata,Weight Loss,Workout,Home Workout,Six-Pack,Burn Fat,Lose Weight,Tone up,Get toned,Abs,Fat Burning,Burn Fat Fast,Shred,Summer Body,Fitness,Insanity,P90X,Full-Body Workout,Best HIIT workout,No Equipment,Exercise,At home workout,Fat burning workout,Training,HIIT Training,Fit,Ripped,Intense HIIT Workout,Free,Abdominal Assault,Brandon Carter HIIT Workout,Direct HIIT,Flat Stomach,6pack,Best Abdominal Exercises,Flat Tummy",38,58,11,3.5562,3.4786,0.0777,1250000,3806,485602394,US,Viral,Short,2026-04-03 10:58:31
_zeT2sd6tdo,Mam! May I Go to Toilet😂| Class Teachers | Standup Comedy by Aakash Gupta #shorts,UCIaezueWjrDDGR9KmVaDFpQ,Only Stand-Up,Comedy,2025-10-04 15:30:33,15,Saturday,6841499,161940,333,64,"aakash gupta stand up comedy,aakash gupta,akash gupta comedy,aakash gupta best stand up comedy,comedy,stand up comedy,aakash gupta new video,standup comedy,aakash gupta best,best of aakash gupta,aakash gupta sarojini nagar,aakash gupta delhi metro,aakash gupta dogs,comicstaan akash gupta,best stand up videos,aakash gupta comedy,indian stand up comedy,zakir khan,best standup comedy,indians,delhi,indian people,school,teachers,class teacher,math teacher",26,81,15,2.3719,2.367,0.0049,291000,295,637842971,IN,Viral,Short,2026-04-03 10:58:49
-E_dQSaUccg,RIP High End GPUs - Tech News Feb 1,UCvWWf-LYjaujE50iYai8WgQ,Paul's Hardware,Tech,2026-02-01 08:02:01,8,Sunday,214830,11051,1359,636,"computer,PC,PC gaming,personal computer,computer hardware,paulshardware,5070 Ti end of life,5060 Ti 16gb end of life,Nvidia,NVIDIA,Gaming GPUs,AMD Radeon,nvidia,intel,tech news,weekly tech news,graphics cards,gaming pc,sunday tech news,RTX 50 series,gpu news,launch date,rtx 50 series,AMD,Intel Nvidia,RTX 50 super,rtx 5080 super,rtx 5070 super,RAM shortage,memory shortage,ssd shortage,crucial,micron,intel panther lake,vram shortage",35,35,9,5.7767,5.1441,0.6326,1540000,1880,300988404,US,High,Long,2026-04-03 10:58:06
-JWG43D66qI,3 EASY FOOTBALL SKILLS for KIDS | Football soccer tutorial,UCOrX-Jvu62z8o6_2_naOZww,Foothacker,Education,2020-07-10 12:50:58,12,Friday,12000819,117301,0,209,"football skills for kids,soccer for kids,football freestyle,football skills tutorial,foothacker,training,football,for kids,skills,skills for kids,soccer training,football training,soccer training for kids,soccer training for beginners,kids soccer,football for kids,education for kids,soccer,freestyle,training football,children’s football,3 easy,3 easy skills,football skills,football skills tutorials,football skills 2020,soccer skills",27,58,10,0.9774,0.9774,0.0,197000,80,24297074,US,Viral,Medium,2026-04-03 10:58:40
-p0PA9Zt8zk,Do This Warm Up Before Your Workouts | Quick Warm Up Routine,UCCgLoMYIyP0U56dEhEL1wXQ,Chloe Ting,Fitness,2020-05-08 12:32:53,12,Friday,82208505,743548,9378,387,"warm up,warm up exercise,warm up exercise before workout,warm up exercise for beginner,warm up routine,warm up routine before workout,warm up workout,warm up workout at home,easy warm up,warm up stretch,good warm up,full body warm up,warm up stretches before workout,home workout,home workout no equipment,5 min workout,5 min warm up,5 min exercise,workout,exercise,fast warm up,quick warm up,effective warm up,home exercise,easy exercise",25,60,12,0.9159,0.9045,0.0114,26000000,511,3482131709,US,Viral,Medium,2026-04-03 10:58:31
0-OgupevSrs,Easy learning activities for kids| Learn A B C D | Pre School Lessons| Fun activities| Purple Turtle,UCCUAONV_2e2fPu5XD7L4clA,Purple Turtle Kids Songs and Nursery Rhymes,Education,2022-04-13 11:54:06,11,Wednesday,725956,7830,0,31,"abcd,learn alphabets,abcd activities,playgroup activities,kindergarten activities,how to teach abcd,cartoon activities,cartoon shows,learning videos,best kids videos,kids shows,kids activities,children's activities,pre school activities,pre school abcd activities,simple activities for kids,easy activities for kids,interesting activities for kids,fun learning,easy learning activities",20,100,18,1.0786,1.0786,0.0,105000,1762,22029828,IN,High,Short,2026-04-03 10:58:40
0GxSnWSp3VM,The BEST Financial Advice You'll Hear Today!,UCzNTVzprq6UG7kBK0LIDtUw,Karl Niilo,Finance,2022-10-07 13:58:45,13,Friday,30368653,963319,3866,33,no_tags,0,44,7,3.1848,3.1721,0.0127,4560000,783,3134667220,EE,Viral,Short,2026-04-03 10:58:14
0IHfmocV-HY,RESIDENT EVIL 3 REMAKE Gameplay Walkthrough FULL GAME [4K 60FPS PS5 PRO] - No Commentary,UC1bwliGvJogr7cWK0nT2Eag,MKIceAndFire,Gaming,2026-03-07 22:35:18,22,Saturday,237394,3570,195,14713,"Resident Evil 3,Resident Evil 3 Remake,Resident Evil 3 Remake Gameplay,Resident Evil 3 Remake Walkthrough Part 1,MKIceAndFire,No,Commentary,Resident Evil 3 Remake Ending,Resident Evil 3 Remake Full Game,Full Game,PS5,Xbox Series X,PS4,PC,Video Game,Campaign,Singleplayer",17,88,15,1.586,1.5038,0.0821,4610000,7908,2726785591,,High,Long,2026-04-03 10:58:23
0KFYJyiCEgU,ശശി തരൂരിനൊപ്പം സെൽഫി എടുക്കാൻ ഭിന്നശേഷിക്കാരൻ്റെ ശ്രമം; DCC പ്രസിഡന്റ് കയ്യേറ്റം ചെയ്തെന്ന് പരാതി,UCwXrBBZnIh2ER4lal6WbAHw,Mathrubhumi News,Tech,2026-03-30 16:23:30,16,Monday,495405,2574,402,44,"Malayalam News,Malayalam News Live,live news malayalam,kerala headlines,latest news,mathrubhumi live,mathrubhumi news,mathrubhumi news live,malayalam news live,Kerala News Live,Mathrubhumi Live,malayalam breaking news,kerala news live,Super Prime time,live news,kerala news,Kerala news,local kerala news,CPMathew,IdukkiDCC,Congress,ShashiTharoor",22,98,11,0.6007,0.5196,0.0811,6200000,313810,7857603129,IN,High,Short,2026-04-03 10:58:06
0m0-1jmfJF4,"$6500 invested at 21 vs. $10,000 invested at 45! 🤨 #personalfinance #rothira #investing",UCGetiqFX7l-8unkK1LyrG3A,AdviceWithErin,Finance,2023-07-03 19:43:08,19,Monday,4846236,158533,3613,49,no_tags,0,87,13,3.3458,3.2713,0.0746,1060000,926,472915600,,Viral,Short,2026-04-03 10:58:14
18BfRSjNs9Q,പ്രേഷകരെ ട്രോളി ചിരിപ്പിക്കുന്ന മഹാദേവൻ 🤣🤣  #bumperraja  #ocicbc | EPI 739,UCUPD0jQo-EP0B1Nf4uzeIMA,Mazhavil Manorama,Comedy,2025-10-26 09:00:04,9,Sunday,1215309,15137,419,661,"Adult education,Bharatanatyam parody,Comedy stars,Elderly women comedy,Emotional moment,Funny skit,Jimmikki kammal parody,Kudumbashree,Malayalam comedy show,Malayalam entertainment,Manikutty,Mazhavil manorama,Oru chiri iru chiri bumper chiri,Reality show,Sharada natyam,Tv show audition",16,74,10,1.28,1.2455,0.0345,20600000,163856,26681238043,IN,Viral,Long,2026-04-03 10:58:49
1AUkhYId3Qw,HIGH ON LIFE 2 Gameplay Walkthrough FULL GAME [4K 60FPS PC ULTRA] - No Commentary,UC1bwliGvJogr7cWK0nT2Eag,MKIceAndFire,Gaming,2026-02-13 15:00:04,15,Friday,469124,5923,575,48952,"High On Life 2,High On Life 2 Gameplay,High On Life 2 Walkthrough Part 1,MKIceAndFire,No,Commentary,High On Life 2 Ending,High On Life 2 Full Game,Full Game,PS5,Xbox Series X,PS4,PC,Video Game,Campaign,Singleplayer",16,81,15,1.3851,1.2626,0.1226,4610000,7908,2726785591,,High,Long,2026-04-03 10:58:23
1aXaWJ8Xmjk,"English Letters with Sounds, (a to z)",UCSzM1uo1K1MbhZtv8JTE9zg,Homeschooling with Hira,Education,2021-04-06 06:24:31,6,Tuesday,2341782,32101,0,55,no_tags,0,37,7,1.3708,1.3708,0.0,96200,1409,10715261,AE,Viral,Short,2026-04-03 10:58:40
1f2z-F-_GFY,Amazon announces new AI technology to improve holiday delivery,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,Tech,2025-12-01 20:53:20,20,Monday,15641,119,41,265,"AI,Amazon,delivery,holiday,p_cmsid=2494279,p_vid=news-128014731,shopping,technology",8,62,9,1.023,0.7608,0.2621,19500000,112137,18075383702,US,Medium,Medium,2026-04-03 10:58:06
1i6C7Z4aEd8,WHERE WINDS MEET Walkthrough Gameplay Part 1 - INTRO (FULL GAME),UCpqXJOEqGS-TCnazcHCo0rA,theRadBrad,Gaming,2025-12-01 15:00:12,15,Monday,1187133,20586,1475,6981,"Where Winds Meet,Where Winds Meet Gameplay,Where Winds Meet Walkthrough,Where Winds Meet Full Game,Where Winds Meet Full Gameplay,Where Winds Meet Part 1,Where Winds Meet Gameplay Part 1,Where Winds Meet Walkthrough Part 1,Where Winds Meet Playthrough,Where Winds Meet PS5,Where Winds Meet PS5 Gameplay,Where Winds Meet PC,Where Winds Meet PC Gameplay,Where Winds Meet 2025,Where Winds Meet Reaction,Where Winds Meet Review,Where Winds Meet Ending,WWM,WWM Gameplay",19,64,11,1.8583,1.7341,0.1242,13900000,8996,6616198738,US,Viral,Long,2026-04-03 10:58:23
